Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 6), (3, 8))",-24.75961827,-24.76629564,-24.76509223,4.45873E-05,2.99642E-05,0.333333333,0.666666667,0.0625,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"((0, 5), (4, 9))",-24.75576372,-24.76202296,-24.76104697,3.9178E-05,2.79127E-05,0.344827586,0.655172414,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((1, 5), (2, 7))",-24.75263535,-24.75655192,-24.75570955,1.53396E-05,9.45073E-06,0.344827586,0.655172414,0.0625,"[(8, 11), (9, 8), (8, 9), (9, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (9, 8), (8, 9), (9, 8), (8, 11)]"
"((1, 6), (4, 9))",-24.75218011,-24.75759771,-24.75674675,2.93504E-05,2.08541E-05,0.344827586,0.655172414,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((1, 5), (4, 9))",-24.75041533,-24.75531382,-24.75449493,2.39952E-05,1.66431E-05,0.344827586,0.655172414,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((0, 5), (2, 7))",-24.7501625,-24.75639659,-24.75552852,3.88639E-05,2.87942E-05,0.344827586,0.655172414,0.0625,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 6), (4, 9))",-24.74928318,-24.75531382,-24.75446557,3.63686E-05,2.68572E-05,0.344827586,0.655172414,0.0625,"[(7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4)]"
"((0, 6), (3, 8))",-24.7485953,-24.75655192,-24.75560907,6.33078E-05,4.91929E-05,0.344827586,0.655172414,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((1, 6), (2, 7))",-24.73564144,-24.76629564,-24.76442653,0.00093968,0.000828582,0.333333333,0.666666667,0.0625,"[(13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (10, 12), (12, 10), (10, 12), (13, 12)]"
"((0, 6), (2, 7))",-24.72424669,-24.75655192,-24.75542149,0.001043628,0.000971869,0.333333333,0.666666667,0.0625,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (10, 7), (7, 10), (10, 7), (4, 7)]"
"((1, 5), (3, 8))",-24.70814613,-24.75655192,-24.75546575,0.00234312,0.002239147,0.344827586,0.655172414,0.0625,"[(8, 5), (9, 8), (8, 9), (9, 8), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (9, 8), (8, 9), (9, 8), (8, 5)]"
"((0, 5), (3, 8))",-24.69363575,-24.75639659,-24.75531679,0.003938923,0.00380455,0.344827586,0.655172414,0.0625,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((0, 0), (4, 0))",-24.74916483,-24.75306519,-24.75226949,1.52128E-05,9.63894E-06,0.25,0.75,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((5, 0), (9, 0))",-24.74962883,-24.75306519,-24.75226941,1.18085E-05,6.97267E-06,0.25,0.75,0.0625,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"((1, 0), (4, 0))",-24.73089345,-24.75306519,-24.75226941,0.000491586,0.000456931,0.25,0.75,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((6, 0), (9, 0))",-24.74999577,-24.75306519,-24.75226943,9.42134E-06,5.16955E-06,0.25,0.75,0.0625,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"(((1, 6), (3, 8)), ((0, 5), (4, 9)))",-24.76146526,-24.77520693,-24.77358826,0.000188833,0.000146967,0.350877193,0.649122807,0.125,"[(6, 7), (10, 7), (7, 10), (10, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (8, 11), (9, 8), (8, 9), (9, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (9, 8), (8, 9), (9, 8), (8, 11)]"
"(((1, 6), (3, 8)), ((1, 5), (2, 7)))",-24.75930415,-24.76951811,-24.76821955,0.000104325,7.94844E-05,0.37704918,0.62295082,0.125,"[(8, 11), (5, 8), (8, 5), (5, 8), (8, 9), (8, 5), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (8, 5), (8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (13, 12), (14, 11), (13, 14), (11, 14), (12, 13), (14, 11), (11, 14), (14, 13), (12, 13), (11, 14), (14, 11), (11, 14), (14, 13), (11, 14), (12, 13), (14, 11), (11, 14), (14, 13), (12, 13), (11, 14), (14, 11), (11, 14), (14, 13), (13, 14), (13, 12), (14, 11)]"
"(((1, 6), (3, 8)), ((1, 6), (4, 9)))",-24.75502948,-24.76987258,-24.76844716,0.000220318,0.000180034,0.360655738,0.639344262,0.125,"[(10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (13, 12), (10, 12), (12, 10), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (10, 7), (7, 10), (10, 7), (7, 4), (12, 13)]"
"(((1, 6), (3, 8)), ((1, 5), (4, 9)))",-24.7552614,-24.76841127,-24.76707426,0.000172919,0.000139544,0.385826772,0.614173228,0.125,"[(3, 5), (6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (4, 1), (1, 4), (4, 1), (2, 1), (3, 2), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (3, 2), (2, 1), (3, 5)]"
"(((1, 6), (3, 8)), ((0, 5), (2, 7)))",-24.75766966,-24.76960921,-24.76832399,0.000142553,0.000113515,0.37704918,0.62295082,0.125,"[(5, 3), (8, 9), (8, 5), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (3, 5), (5, 3), (3, 5), (9, 8), (5, 8), (8, 5), (5, 3), (8, 9), (12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"(((1, 6), (3, 8)), ((0, 6), (4, 9)))",-24.75437988,-24.76841128,-24.76704858,0.00019688,0.000160496,0.357142857,0.642857143,0.125,"[(8, 9), (13, 12), (15, 12), (12, 15), (15, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (15, 12), (12, 15), (15, 12), (13, 12), (13, 14), (14, 13), (13, 14), (11, 14), (11, 14), (8, 11), (9, 8), (14, 11), (11, 14), (14, 11), (11, 8), (9, 8), (14, 11), (11, 14), (14, 11), (11, 8), (9, 8), (14, 11), (11, 14), (14, 11), (11, 8), (9, 8), (14, 11), (11, 14), (14, 11), (11, 8), (8, 11), (8, 9), (11, 14)]"
"(((1, 6), (3, 8)), ((0, 6), (3, 8)))",-24.7545563,-24.76955766,-24.76816582,0.000225041,0.000185219,0.356521739,0.643478261,0.125,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (4, 1), (1, 4), (7, 4), (6, 7), (6, 7), (7, 6), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"(((1, 6), (3, 8)), ((1, 6), (2, 7)))",-24.74029618,-24.77616446,-24.77354135,0.001286533,0.001105241,0.360655738,0.639344262,0.125,"[(10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (13, 12), (10, 12), (12, 10), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (10, 7), (7, 10), (10, 7), (7, 4), (12, 13)]"
