Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 6), (2, 7))",-24.76629564,-24.76629564,-24.76549986,0,6.3327E-07,0,1,0,0.083333333,0.25,0.75,0.0625,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4)]"
"((1, 6), (4, 9))",-24.75759771,-24.75759771,-24.75680195,0,6.33243E-07,0,1,0,0.083333333,0.243902439,0.756097561,0.0625,"[(11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (11, 12), (11, 10), (11, 10), (11, 10), (11, 3)]"
"((1, 5), (2, 7))",-24.75655192,-24.75655192,-24.75575614,0,6.33272E-07,0,1,0,0.083333333,0.256410256,0.743589744,0.0625,"[(4, 10), (4, 3), (4, 3), (4, 3), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (11, 12)]"
"((0, 6), (2, 7))",-24.75655192,-24.75655192,-24.75575614,0,6.33268E-07,0,1,0,0.083333333,0.285714286,0.714285714,0.0625,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (9, 8), (9, 8), (7, 8), (5, 9)]"
"((1, 5), (3, 8))",-24.75655192,-24.75655192,-24.75575614,0,6.33268E-07,0,1,0,0.083333333,0.277777778,0.722222222,0.0625,"[(1, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (11, 3), (11, 3), (11, 3), (12, 2), (12, 2), (1, 2), (11, 12)]"
"((0, 5), (2, 7))",-24.75639659,-24.75639659,-24.75560079,0,6.33295E-07,0,1,0,0.083333333,0.243902439,0.756097561,0.0625,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((0, 5), (3, 8))",-24.75639659,-24.75639659,-24.75560079,0,6.33295E-07,0,1,0,0.083333333,0.24691358,0.75308642,0.0625,"[(11, 10), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 3), (2, 3), (2, 3), (2, 3), (11, 10), (12, 2)]"
"((0, 6), (4, 9))",-24.75531382,-24.75531382,-24.75451805,0,6.3325E-07,0,1,0,0.083333333,0.263157895,0.736842105,0.0625,"[(9, 10), (5, 9), (5, 9), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 10), (9, 8), (5, 9), (5, 9), (5, 9), (9, 10)]"
"((1, 6), (3, 8))",-24.65843859,-24.76629564,-24.76366787,0.011633143,0.011073202,0,1,0,0.083333333,0.285714286,0.714285714,0.0625,"[(4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (11, 10), (9, 10), (9, 10), (9, 10), (4, 10)]"
"((0, 6), (3, 8))",-24.63352805,-24.75655192,-24.75499619,0.015134874,0.01475451,0,1,0,0.083333333,0.281690141,0.718309859,0.0625,"[(9, 10), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 10), (4, 3), (4, 3), (4, 3), (9, 10), (11, 3)]"
