Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,singles,doubles,singles_ratio,doubles_ratio,param_ratio,cnot_con
"((1, 6), (4, 9))",-24.7299784,-24.73460599,-24.73355047,2.14E-05,1.28E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((0, 5), (4, 9))",-24.72709563,-24.73235911,-24.73124645,2.77E-05,1.72E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((1, 6), (3, 8))",-24.72410103,-24.73056946,-24.72940725,4.18E-05,2.82E-05,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"((0, 5), (2, 7))",-24.72259954,-24.72810982,-24.72707156,3.04E-05,2.00E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((1, 5), (2, 7))",-24.72246514,-24.72627676,-24.72531194,1.45E-05,8.10E-06,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 11), (9, 8), (8, 9), (9, 8), (8, 5), (8, 9), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (9, 8), (8, 9), (9, 8), (8, 11)]"
"((1, 5), (4, 9))",-24.72213967,-24.72631663,-24.72536094,1.74E-05,1.04E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (6, 7), (7, 6), (6, 7), (7, 10)]"
"((0, 6), (4, 9))",-24.72110701,-24.72631663,-24.72531291,2.71E-05,1.77E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4)]"
"((0, 6), (3, 8))",-24.71860791,-24.72627675,-24.72520798,5.88E-05,4.36E-05,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9)]"
"((1, 6), (2, 7))",-24.7011929,-24.73056946,-24.72899997,0.000862982,0.000773233,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(13, 12), (10, 12), (12, 10), (10, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (10, 12), (12, 10), (10, 12), (13, 12)]"
"((0, 6), (2, 7))",-24.69489441,-24.72627675,-24.7250131,0.000984851,0.000907136,0.333333333,0.666666667,0,1,0,0.083333333,0.0625,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (10, 7), (7, 10), (10, 7), (4, 7)]"
"((1, 5), (3, 8))",-24.67914519,-24.72627676,-24.72506191,0.002221385,0.002108346,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(8, 5), (9, 8), (8, 9), (9, 8), (8, 11), (8, 9), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (8, 9), (8, 11), (9, 8), (8, 9), (9, 8), (8, 5)]"
"((0, 5), (3, 8))",-24.67086077,-24.72810982,-24.72672321,0.003277454,0.003120613,0.344827586,0.655172414,0,1,0,0.083333333,0.0625,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((0, 0), (4, 0))",-24.71926057,-24.72260602,-24.72168543,1.12E-05,5.88E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((5, 0), (9, 0))",-24.71956493,-24.72260602,-24.72168535,9.25E-06,4.50E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"((1, 0), (4, 0))",-24.70398957,-24.72260602,-24.72168534,0.000346572,0.00031314,0.25,0.75,1,0,0.25,0,0.0625,"[(8, 9), (9, 8), (9, 8), (8, 9)]"
"((6, 0), (9, 0))",-24.71985976,-24.72260602,-24.72168536,7.54E-06,3.33E-06,0.25,0.75,1,0,0.25,0,0.0625,"[(9, 8), (8, 9), (8, 9), (9, 8)]"
"(((1, 6), (4, 9)), ((0, 5), (4, 9)))",-24.7290901,-24.74232229,-24.74106224,0.000175091,0.000143332,0.371900826,0.628099174,0,2,0,0.166666667,0.125,"[(7, 4), (10, 7), (7, 10), (10, 7), (7, 6), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (10, 7), (7, 10), (7, 4), (6, 7), (7, 6), (6, 7), (12, 13), (10, 12), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (10, 12), (10, 7), (12, 13)]"
