Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff ,diff_REM,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 4), (3, 6))",-1.84922938,-1.84922938,-1.848266847,0,9.2647E-07,0.25,0.75,0.071428571,"[(5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 8), (9, 10), (9, 8), (9, 8), (9, 8), (5, 9)]"
"((0, 5), (2, 7))",-1.849229378,-1.849229378,-1.848266845,0,9.2647E-07,0.243902439,0.756097561,0.071428571,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((0, 4), (2, 6))",-1.848926997,-1.848926997,-1.847964466,0,9.26468E-07,0.266666667,0.733333333,0.071428571,"[(9, 8), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (5, 4), (5, 4), (5, 4), (9, 8), (4, 10)]"
"((1, 5), (3, 7))",-1.845808417,-1.845808417,-1.84484587,0,9.26496E-07,0.317460317,0.682539683,0.071428571,"[(5, 9), (5, 4), (5, 4), (5, 4), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (11, 10)]"
"((0, 4), (3, 7))",-1.842469387,-1.842469387,-1.841506865,0,9.26449E-07,0.317460317,0.682539683,0.071428571,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((1, 4), (2, 7))",-1.839500973,-1.839500973,-1.838538434,0,9.26481E-07,0.281690141,0.718309859,0.071428571,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
"((4, 5), (6, 7))",-1.78315381,-1.832041361,-1.830868064,0.002389993,0.00227665,0.25,0.75,0.071428571,"[(5, 4), (4, 10), (4, 10), (4, 10), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 10), (4, 3), (4, 10), (4, 10), (4, 10), (5, 4)]"
"((0, 1), (2, 3))",-1.742848853,-1.832041361,-1.830383506,0.007955303,0.007662315,0.3125,0.6875,0.071428571,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (5, 9)]"
"((1, 5), (2, 6))",-1.606756409,-1.874690034,-1.863790316,0.071788427,0.06606643,0.24691358,0.75308642,0.071428571,"[(5, 4), (9, 8), (6, 8), (6, 8), (6, 8), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 6), (5, 4), (6, 8), (6, 8), (6, 8), (9, 8)]"
"((0, 5), (3, 6))",-1.535993613,-1.839500973,-1.836162354,0.092116717,0.090101273,0.277777778,0.722222222,0.071428571,"[(1, 2), (1, 0), (1, 0), (1, 0), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (1, 0), (13, 1), (1, 0), (1, 0), (1, 0), (1, 2)]"
