Operator,Noisy_val_approx,Ideal_val,difference,REM_seq,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"((0, 4), (2, 6))",-2.108472091,-2.108472091,0,-2.107928651,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 4), (3, 6))",-2.105953162,-2.105953162,0,-2.105407067,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 5), (2, 7))",-2.105953162,-2.105953162,0,-2.105407052,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 5), (3, 7))",-2.104920743,-2.104920743,0,-2.104371014,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 4), (3, 7))",-2.103479089,-2.103479089,0,-2.10292553,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 4), (2, 7))",-2.101064273,-2.101064273,0,-2.100505768,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((4, 5), (6, 7))",-2.033423379,-2.100674015,0.004522648,-2.099944681,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 1), (2, 3))",-1.926443162,-2.100674003,0.030356386,-2.099686007,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 5), (2, 6))",-1.775418124,-2.123139048,0.120909841,-2.117633631,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 5), (3, 6))",-1.663204246,-2.101064273,0.191721404,-2.101244248,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"(((0, 4), (2, 6)), ((1, 4), (3, 6)))",-2.115857665,-2.115857665,0,-2.115333037,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
