Operator,Noisy_val_approx,Ideal_val,Seq_REM,singles ,doubles,singles_ratio,doubles_ratio,diff,diff_REM,diff_diff,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-2.113019955,-2.123607204,-2.121777432,0,1,0,0.1,0.00011209,7.67E-05,3.54E-05,0.382352941,0.617647059,0.071428571,"[(2, 1), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5)]"
"((0, 5), (2, 7))",-2.098199154,-2.106383296,-2.105256326,0,1,0,0.1,6.70E-05,4.98E-05,1.72E-05,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 4), (2, 6))",-2.093917024,-2.108904895,-2.10743175,0,1,0,0.1,0.000224636,0.000182648,4.20E-05,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
"((1, 5), (3, 7))",-2.087885216,-2.105347258,-2.104246349,0,1,0,0.1,0.000304923,0.000267687,3.72E-05,0.344827586,0.655172414,0.071428571,"[(12, 10), (15, 12), (12, 15), (15, 12), (12, 13), (12, 15), (13, 12), (10, 12), (13, 12), (15, 12), (13, 12), (10, 12), (13, 12), (15, 12), (12, 15), (12, 13), (15, 12), (12, 15), (15, 12), (12, 10)]"
"((0, 5), (3, 6))",-2.077186236,-2.101482012,-2.100394601,0,1,0,0.1,0.000590285,0.000538628,5.17E-05,0.333333333,0.666666667,0.071428571,"[(11, 8), (5, 8), (8, 5), (5, 8), (8, 9), (8, 11), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (8, 11), (8, 9), (5, 8), (8, 5), (5, 8), (11, 8)]"
"((1, 4), (3, 6))",-2.074750283,-2.106383296,-2.105005497,0,1,0,0.1,0.001000648,0.000915378,8.53E-05,0.344827586,0.655172414,0.071428571,"[(8, 9), (11, 8), (8, 11), (11, 8), (8, 5), (8, 11), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (8, 11), (8, 5), (11, 8), (8, 11), (11, 8), (8, 9)]"
"((4, 5), (6, 7))",-2.028190232,-2.101091728,-2.099871566,0,1,0,0.1,0.005314628,0.005138214,0.000176414,0.344827586,0.655172414,0.071428571,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"((1, 4), (2, 7))",-2.018293723,-2.101482012,-2.10031757,0,1,0,0.1,0.006920291,0.006727912,0.00019238,0.333333333,0.666666667,0.071428571,"[(10, 7), (4, 7), (7, 4), (4, 7), (7, 6), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (4, 7), (7, 4), (4, 7), (10, 7)]"
"((0, 4), (3, 7))",-1.995456851,-2.103901764,-2.102459374,0,1,0,0.1,0.011760299,0.01144954,0.000310759,0.382352941,0.617647059,0.071428571,"[(13, 14), (12, 15), (12, 13), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (14, 13), (13, 14), (14, 13), (15, 12), (13, 12), (12, 13), (13, 14), (12, 15)]"
"((0, 1), (2, 3))",-1.948199908,-2.101091728,-2.099740359,0,1,0,0.1,0.023375909,0.022964508,0.0004114,0.344827586,0.655172414,0.071428571,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4)]"
