Operator,Noisy_val_approx,Ideal_val,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((0, 4), (2, 6))",-2.108472090783887,-2.108472090783887,0.25316455696202533,0.7468354430379747,0.0625,"[(12, 11), (13, 4), (5, 4), (5, 4), (5, 4), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 5), (5, 4), (5, 4), (5, 4), (12, 11), (13, 4)]"
"((1, 4), (3, 6))",-2.105953162397939,-2.105953162397939,0.2564102564102564,0.7435897435897436,0.0625,"[(6, 5), (6, 11), (6, 11), (6, 11), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (6, 11), (6, 11), (6, 11), (6, 5)]"
"((0, 5), (2, 7))",-2.105953162397939,-2.105953162397939,0.2857142857142857,0.7142857142857143,0.0625,"[(3, 14), (13, 14), (13, 14), (13, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (13, 14), (15, 14), (13, 14), (13, 14), (13, 14), (3, 14)]"
"((1, 5), (3, 7))",-2.1049207433159003,-2.1049207433159003,0.2857142857142857,0.7142857142857143,0.0625,"[(9, 8), (8, 7), (8, 7), (8, 7), (11, 10), (7, 10), (11, 10), (9, 10), (11, 10), (7, 10), (11, 10), (9, 10), (11, 10), (7, 10), (7, 10), (8, 7), (8, 7), (8, 7), (9, 8), (11, 10)]"
"((0, 4), (3, 7))",-2.103479089308741,-2.103479089308741,0.25316455696202533,0.7468354430379747,0.0625,"[(5, 4), (12, 11), (13, 4), (13, 4), (13, 4), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 13), (12, 11), (13, 4), (13, 4), (13, 4), (5, 4)]"
"((1, 4), (2, 7))",-2.1010642732887437,-2.1010642732887437,0.2631578947368421,0.7368421052631579,0.0625,"[(6, 5), (6, 11), (6, 11), (6, 11), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 11), (6, 11), (6, 11), (6, 11), (6, 5), (12, 13)]"
"((4, 5), (6, 7))",-2.100674014591762,-2.100674014591762,0.28169014084507044,0.7183098591549296,0.0625,"[(13, 4), (13, 14), (13, 14), (13, 14), (12, 13), (13, 14), (12, 13), (13, 4), (12, 13), (13, 14), (12, 13), (13, 4), (12, 13), (13, 14), (13, 14), (12, 13), (13, 14), (13, 14), (13, 14), (13, 4)]"
"((0, 1), (2, 3))",-2.100674003190413,-2.100674003190413,0.2898550724637681,0.7101449275362319,0.0625,"[(7, 10), (8, 7), (8, 7), (8, 7), (6, 7), (7, 10), (6, 7), (8, 7), (6, 7), (7, 10), (6, 7), (8, 7), (6, 7), (7, 10), (7, 10), (6, 7), (8, 7), (8, 7), (8, 7), (7, 10)]"
"((1, 5), (2, 6))",-2.123139047827255,-2.123139047827255,0.2777777777777778,0.7222222222222222,0.0625,"[(12, 5), (6, 5), (6, 5), (6, 5), (5, 4), (12, 5), (5, 4), (6, 5), (5, 4), (12, 5), (5, 4), (6, 5), (5, 4), (12, 5), (12, 5), (5, 4), (6, 5), (6, 5), (6, 5), (12, 5)]"
"((1, 5), (3, 6))",-2.099109557045936,-2.099109557045936,0.2857142857142857,0.7142857142857143,0.0625,"[(3, 4), (13, 4), (13, 4), (13, 4), (5, 4), (13, 4), (5, 4), (3, 4), (5, 4), (13, 4), (5, 4), (3, 4), (5, 4), (13, 4), (13, 4), (5, 4), (13, 4), (13, 4), (13, 4), (3, 4)]"
"((0, 5), (2, 6))",-2.09910956023095,-2.09910956023095,0.2857142857142857,0.7142857142857143,0.0625,"[(3, 14), (13, 14), (13, 14), (13, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (13, 14), (15, 14), (13, 14), (13, 14), (13, 14), (3, 14)]"
"((0, 5), (3, 6))",-2.1010642732887437,-2.1010642732887437,0.2857142857142857,0.7142857142857143,0.0625,"[(3, 4), (13, 4), (13, 4), (13, 4), (5, 4), (13, 4), (5, 4), (3, 4), (5, 4), (13, 4), (5, 4), (3, 4), (5, 4), (13, 4), (13, 4), (5, 4), (13, 4), (13, 4), (13, 4), (3, 4)]"
"((0, 0), (2, 0))",-2.0991095683732865,-2.0991095683732865,0.21052631578947367,0.7894736842105263,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((1, 0), (3, 0))",-2.099109567564329,-2.099109567564329,0.21052631578947367,0.7894736842105263,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((4, 0), (6, 0))",-2.0991095683732865,-2.0991095683732865,0.21052631578947367,0.7894736842105263,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((5, 0), (7, 0))",-2.099109567564329,-2.099109567564329,0.21052631578947367,0.7894736842105263,0.0625,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"(((0, 4), (2, 6)), ((1, 4), (3, 6)))",-2.1158576650731797,-2.1158576650731797,0.27044025157232704,0.7295597484276729,0.125,"[(6, 5), (6, 11), (6, 11), (6, 11), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 11), (12, 13), (12, 11), (12, 11), (12, 11), (11, 10), (12, 5), (6, 5), (6, 5), (6, 5), (12, 5), (6, 5), (6, 5), (6, 5), (12, 11), (11, 10), (6, 11), (11, 10), (12, 11), (11, 10), (6, 11), (11, 10), (12, 11), (12, 11), (11, 10), (12, 5), (12, 5), (12, 5), (6, 5)]"
"(((0, 4), (2, 6)), ((0, 5), (2, 7)))",-2.1158576778928637,-2.1158576778928637,0.2631578947368421,0.7368421052631579,0.125,"[(13, 14), (12, 13), (12, 13), (12, 13), (13, 4), (13, 14), (13, 4), (12, 13), (13, 4), (13, 14), (13, 4), (12, 13), (13, 4), (13, 14), (13, 14), (13, 4), (5, 4), (13, 14), (13, 14), (13, 14), (12, 13), (12, 11), (6, 11), (6, 11), (6, 11), (6, 5), (5, 4), (12, 5), (5, 4), (6, 5), (5, 4), (12, 5), (5, 4), (6, 5), (6, 5), (5, 4), (6, 5), (6, 5), (6, 5), (12, 5)]"
"(((0, 4), (2, 6)), ((1, 5), (3, 7)))",-2.114291161080578,-2.114291161080578,0.272108843537415,0.7278911564625851,0.125,"[(6, 5), (6, 11), (6, 11), (6, 11), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (13, 14), (13, 4), (13, 4), (13, 4), (12, 13), (13, 14), (12, 13), (13, 4), (12, 13), (13, 14), (12, 13), (13, 4), (12, 13), (13, 14), (13, 14), (12, 13), (12, 5), (12, 5), (12, 5), (12, 11), (3, 14), (3, 14), (3, 14), (3, 4)]"
"(((0, 4), (2, 6)), ((0, 4), (3, 7)))",-2.111661823010321,-2.111661823010321,0.2714285714285714,0.7285714285714285,0.125,"[(12, 5), (12, 13), (12, 13), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 5), (5, 4), (5, 4), (5, 4), (6, 5), (5, 4), (6, 5), (12, 11), (12, 13), (12, 13), (12, 13), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (5, 4), (6, 5), (12, 13), (12, 13), (12, 13), (13, 4)]"
"(((0, 4), (2, 6)), ((1, 4), (2, 7)))",-2.111501549484794,-2.111501549484794,0.28169014084507044,0.7183098591549296,0.125,"[(3, 4), (5, 4), (5, 4), (5, 4), (13, 4), (5, 4), (13, 4), (3, 4), (13, 4), (5, 4), (13, 4), (3, 4), (13, 4), (5, 4), (5, 4), (13, 4), (3, 4), (3, 4), (3, 4), (5, 4), (6, 5), (6, 11), (6, 11), (6, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 5), (12, 13), (12, 11), (12, 11), (12, 11), (12, 5)]"
"(((0, 4), (2, 6)), ((4, 5), (6, 7)))",-2.10949591661276,-2.10949591661276,0.27586206896551724,0.7241379310344828,0.125,"[(2, 3), (13, 4), (3, 4), (2, 3), (13, 14), (13, 14), (13, 14), (3, 14), (2, 3), (3, 4), (2, 3), (3, 14), (2, 3), (3, 4), (3, 4), (2, 3), (3, 14), (3, 14), (3, 14), (3, 4), (13, 4), (12, 13), (12, 13), (12, 13), (13, 14), (12, 13), (13, 14), (13, 4), (13, 14), (12, 13), (13, 14), (13, 4), (13, 14), (12, 13), (12, 13), (13, 14), (12, 13), (12, 13), (12, 13), (13, 4)]"
"(((0, 4), (2, 6)), ((0, 1), (2, 3)))",-2.109495910548798,-2.109495910548798,0.27586206896551724,0.7241379310344828,0.125,"[(3, 4), (5, 4), (5, 4), (5, 4), (13, 4), (3, 4), (13, 4), (5, 4), (13, 4), (3, 4), (13, 4), (5, 4), (13, 4), (3, 4), (3, 4), (13, 4), (3, 4), (3, 4), (3, 4), (5, 4), (6, 5), (6, 11), (6, 11), (6, 11), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 11), (12, 13), (12, 5), (12, 5), (12, 5), (12, 11)]"
"(((0, 4), (2, 6)), ((1, 5), (2, 6)))",-2.1282450362285097,-2.1282450362285097,0.2716049382716049,0.7283950617283951,0.125,"[(6, 7), (12, 5), (6, 5), (6, 7), (12, 11), (12, 11), (12, 11), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 5), (12, 5), (12, 5), (12, 5), (5, 4), (6, 5), (5, 4), (5, 4), (5, 4), (6, 7), (6, 5), (5, 4), (5, 4), (5, 4), (6, 7), (6, 5), (5, 4), (5, 4), (5, 4), (6, 7), (6, 5), (5, 4), (5, 4), (5, 4), (6, 7), (6, 5), (6, 5), (5, 4), (6, 7), (12, 11)]"
"(((0, 4), (2, 6)), ((1, 5), (3, 6)))",-2.1084721020950283,-2.1084721020950283,0.2948717948717949,0.7051282051282052,0.125,"[(6, 5), (12, 13), (13, 4), (13, 4), (13, 4), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (5, 4), (6, 5), (5, 4), (5, 4), (5, 4), (3, 4), (12, 5), (13, 14), (13, 4), (3, 4), (13, 14), (13, 14), (13, 14), (13, 4), (3, 4), (13, 14), (13, 14), (13, 14), (13, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 14), (3, 4), (13, 14), (13, 14), (13, 14), (3, 14), (3, 14), (3, 4), (13, 14)]"
"(((0, 4), (2, 6)), ((0, 5), (2, 6)))",-2.1084721079066258,-2.1084721079066258,0.25675675675675674,0.7432432432432432,0.125,"[(6, 11), (6, 5), (6, 5), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (12, 5), (12, 5), (12, 5), (12, 11), (12, 5), (6, 5), (6, 7), (12, 11), (12, 11), (12, 11), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 5), (6, 7), (12, 11), (12, 11), (12, 11), (12, 5)]"
