Operator,Noisy_val_approx,Ideal_val,diff,diff_rem,Seq_REM,two_qc_ratio,single_qc_ratio,singles,doubles,singles_ratio,doubles_ratio,param_ratio,cnot_con
"((0, 5), (2, 7))",-1.543889967,-1.543889967,0,9.94597E-07,-1.542892672,0.243902439,0.756097561,0,1,0,0.1,0.071428571,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((1, 4), (3, 6))",-1.543889967,-1.543889967,0,9.94597E-07,-1.542892672,0.25,0.75,0,1,0,0.1,0.071428571,"[(5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 8), (9, 10), (9, 8), (9, 8), (9, 8), (5, 9)]"
"((0, 4), (2, 6))",-1.533814937,-1.533814937,0,9.94615E-07,-1.532817633,0.266666667,0.733333333,0,1,0,0.1,0.071428571,"[(9, 8), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (5, 4), (5, 4), (5, 4), (9, 8), (4, 10)]"
"((1, 5), (3, 7))",-1.533688905,-1.533688905,0,9.94613E-07,-1.532691602,0.317460317,0.682539683,0,1,0,0.1,0.071428571,"[(5, 9), (5, 4), (5, 4), (5, 4), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (11, 10)]"
"((1, 4), (2, 7))",-1.527940858,-1.527940858,0,9.94599E-07,-1.526943562,0.281690141,0.718309859,0,1,0,0.1,0.071428571,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
"((0, 4), (3, 7))",-1.527376093,-1.527376093,0,9.94609E-07,-1.526378792,0.317460317,0.682539683,0,1,0,0.1,0.071428571,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((4, 5), (6, 7))",-1.453257322,-1.485941759,0.001068272,0.000998824,-1.484861496,0.25,0.75,0,1,0,0.1,0.071428571,"[(5, 4), (4, 10), (4, 10), (4, 10), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 10), (4, 3), (4, 10), (4, 10), (4, 10), (5, 4)]"
"((0, 1), (2, 3))",-1.446042553,-1.485941759,0.001591947,0.001433616,-1.48390568,0.3125,0.6875,0,1,0,0.1,0.071428571,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (5, 9)]"
"((1, 5), (2, 6))",-1.365559293,-1.568943853,0.041365279,0.035494713,-1.5539597,0.24691358,0.75308642,0,1,0,0.1,0.071428571,"[(5, 4), (9, 8), (6, 8), (6, 8), (6, 8), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 6), (5, 4), (6, 8), (6, 8), (6, 8), (9, 8)]"
"((0, 5), (3, 6))",-1.317393616,-1.527940862,0.044330143,0.040827097,-1.519450778,0.277777778,0.722222222,0,1,0,0.1,0.071428571,"[(1, 2), (1, 0), (1, 0), (1, 0), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (1, 0), (13, 1), (1, 0), (1, 0), (1, 0), (1, 2)]"
"((0, 0), (2, 0))",-1.483239845,-1.483239845,0,9.94605E-07,-1.482242546,0.19047619,0.80952381,1,0,0.25,0,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((1, 0), (3, 0))",-1.483239845,-1.483239845,0,9.94605E-07,-1.482242546,0.19047619,0.80952381,1,0,0.25,0,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((4, 0), (6, 0))",-1.483239845,-1.483239845,0,9.94605E-07,-1.482242546,0.210526316,0.789473684,1,0,0.25,0,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((5, 0), (7, 0))",-1.483239845,-1.483239845,0,9.94605E-07,-1.482242546,0.210526316,0.789473684,1,0,0.25,0,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"(((0, 5), (2, 7)), ((1, 4), (3, 6)))",-1.608482857,-1.608482857,0,9.94613E-07,-1.607485554,0.296296296,0.703703704,0,2,0,0.2,0.142857143,"[(9, 8), (7, 8), (7, 8), (7, 8), (6, 8), (7, 8), (6, 8), (9, 8), (6, 8), (7, 8), (6, 8), (9, 8), (6, 8), (7, 8), (7, 8), (6, 8), (7, 8), (7, 8), (7, 8), (9, 8), (12, 2), (2, 3), (2, 3), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (12, 2), (1, 2), (2, 3), (2, 3), (2, 3), (12, 2)]"
