Operator,Noisy_val_approx,Ideal_val,diff,REM_seq,Diff_REM,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"((0, 5), (2, 7))",-1.487605506,-1.487605506,0,-1.487125901,2.30021E-07,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 4), (3, 6))",-1.487605506,-1.487605506,0,-1.487125902,2.3002E-07,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 5), (3, 7))",-1.477021449,-1.477021449,0,-1.476522143,2.49307E-07,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 4), (2, 6))",-1.476230725,-1.476230725,0,-1.475738293,2.42489E-07,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 4), (2, 7))",-1.472777177,-1.472777177,0,-1.472293305,2.34132E-07,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 4), (3, 7))",-1.470329735,-1.470329735,0,-1.469827626,2.52113E-07,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((4, 5), (6, 7))",-1.384001339,-1.413448917,0.00086716,-1.412744409,0.000826164,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 1), (2, 3))",-1.381203894,-1.413448917,0.001039742,-1.411578841,0.000922637,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((1, 5), (2, 6))",-1.314809963,-1.50749555,0.037127735,-1.490189502,0.030757983,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"((0, 5), (3, 6))",-1.276826073,-1.472777177,0.038396835,-1.462345617,0.034417501,14,12,14,16,8,6,1,26,0.307692308,0.230769231,0.1,0.466666667,0.533333333
"(((0, 5), (2, 7)), ((1, 4), (3, 6)))",-1.573157595,-1.573157595,0,-1.572713618,1.97116E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((1, 5), (3, 7)))",-1.542244539,-1.542244539,0,-1.541799782,1.97809E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((0, 4), (2, 6)))",-1.541513847,-1.541513847,0,-1.541072982,1.94362E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((1, 4), (2, 7)))",-1.492779387,-1.492779387,0,-1.492283514,2.4589E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((0, 4), (3, 7)))",-1.589454783,-1.589454783,0,-1.589036374,1.75066E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((4, 5), (6, 7)))",-1.470011962,-1.503559856,0.001125461,-1.501731778,0.001006147,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.434395049,-1.504677107,0.004939568,-1.496859444,0.003901801,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.465387483,-1.626515314,0.025962178,-1.619979957,0.023898833,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.327857464,-1.491806347,0.026879236,-1.512250138,0.034000658,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (3, 6)), ((1, 5), (3, 7)))",-1.542244539,-1.542244539,0,-1.541799783,1.97808E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (3, 6)), ((0, 4), (2, 6)))",-1.541513847,-1.541513847,0,-1.541072978,1.94365E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (3, 6)), ((1, 4), (2, 7)))",-1.491806351,-1.491806351,0,-1.491309355,2.47005E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (3, 6)), ((0, 4), (3, 7)))",-1.589454786,-1.589454786,0,-1.589036374,1.75069E-07,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (3, 6)), ((4, 5), (6, 7)))",-1.466906822,-1.504677107,0.001426594,-1.504569782,0.001418499,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
