Operator,Noisy_val_approx,Ideal_val,diff,diff_rem,Seq_REM,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 4), (3, 6))",-1.488137956,-1.488137956,0,1.02425E-06,-1.487125902,0.25,0.75,0.071428571,"[(5, 9), (9, 8), (9, 8), (9, 8), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 8), (9, 10), (9, 8), (9, 8), (9, 8), (5, 9)]"
"((0, 5), (2, 7))",-1.488137956,-1.488137956,0,1.02425E-06,-1.487125902,0.243902439,0.756097561,0.071428571,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((1, 5), (3, 7))",-1.477534191,-1.477534191,0,1.02424E-06,-1.476522143,0.317460317,0.682539683,0.071428571,"[(5, 9), (5, 4), (5, 4), (5, 4), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (11, 10)]"
"((0, 4), (2, 6))",-1.476750348,-1.476750348,0,1.02425E-06,-1.475738295,0.266666667,0.733333333,0.071428571,"[(9, 8), (4, 10), (5, 4), (5, 4), (5, 4), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (5, 4), (5, 4), (5, 4), (9, 8), (4, 10)]"
"((1, 4), (2, 7))",-1.473305365,-1.473305365,0,1.02425E-06,-1.472293311,0.281690141,0.718309859,0.071428571,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 10)]"
"((0, 4), (3, 7))",-1.470839681,-1.470839681,0,1.02426E-06,-1.469827624,0.317460317,0.682539683,0.071428571,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (5, 9), (5, 9), (5, 9), (5, 4), (11, 10)]"
"((4, 5), (6, 7))",-1.384484962,-1.413903935,0.000865476,0.000798596,-1.412744407,0.25,0.75,0.071428571,"[(5, 4), (4, 10), (4, 10), (4, 10), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 3), (5, 4), (4, 3), (4, 10), (4, 10), (4, 3), (4, 10), (4, 10), (4, 10), (5, 4)]"
"((0, 1), (2, 3))",-1.381743987,-1.413903935,0.001034262,0.000890112,-1.411578731,0.3125,0.6875,0.071428571,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (5, 9)]"
"((1, 5), (2, 6))",-1.315392727,-1.508038379,0.037112347,0.03055364,-1.490188722,0.24691358,0.75308642,0.071428571,"[(5, 4), (9, 8), (6, 8), (6, 8), (6, 8), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 4), (5, 9), (5, 4), (5, 6), (5, 6), (5, 4), (6, 8), (6, 8), (6, 8), (9, 8)]"
"((0, 5), (3, 6))",-1.277418958,-1.47330536,0.038371482,0.034196834,-1.462342818,0.281690141,0.718309859,0.071428571,"[(1, 2), (1, 0), (1, 0), (1, 0), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (13, 1), (1, 2), (13, 1), (1, 0), (1, 0), (13, 1), (1, 0), (1, 0), (1, 0), (1, 2)]"
"((0, 0), (2, 0))",-1.410765052,-1.410765052,0,1.02426E-06,-1.409752996,0.19047619,0.80952381,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((1, 0), (3, 0))",-1.410765051,-1.410765051,0,1.02426E-06,-1.409752996,0.19047619,0.80952381,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((4, 0), (6, 0))",-1.410765052,-1.410765052,0,1.02426E-06,-1.409752996,0.210526316,0.789473684,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
"((5, 0), (7, 0))",-1.410765051,-1.410765051,0,1.02426E-06,-1.409752996,0.210526316,0.789473684,0.071428571,"[(1, 0), (1, 0), (1, 0), (1, 0)]"
