Opt_Energy,T2
-1.630840362356773,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.4209528766803734,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.6232742589217621,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.4887319595746251,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6629711535570149,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.6518495543432872,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5705814272869616,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.4365916448498317,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.621631233340485,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.4165876396001287,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.6308403606395756,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5887310767756597,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5028273558902194,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.4926809195519448,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.2993614286997381,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.4363571947006468,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.524854503768971,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.4041662616953765,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.4315382303518671,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.6221896456474894,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.7202402762773201,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5753446542695388,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.4339681881933997,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.3759993270248638,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.358023344563665,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6518495530723554,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5680244730253334,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5605903639941454,"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4468680930824376,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.626758480032339,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.5791372476163859,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.741317249053293,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.6322003349938607,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5788454406755061,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.3786895389501246,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.35527917145405,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.407215935114987,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.370015959503092,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.3872377320735088,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.487032755310247,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.6092286056885854,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.6224550290539774,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5134228582093923,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.593384935931721,"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.48820395715641,"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4715423441714854,"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.64300117842637,"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.580142957943719,"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5720970642515448,"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4010154919188937,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.327832143712243,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.397267510122723,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.3908919992919406,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.3718798974866786,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.480334855732682,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.625908991093445,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.6221298278767424,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.573883203949364,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.4770699896428212,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4156830738602344,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.3930653195985228,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6322003382180785,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5789968474549125,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.506584782279846,"(((0, 4), (3, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.266387690411631,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.3284816000929047,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.3895526603671526,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.3248684528265011,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.2614596179373057,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.281434598459691,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.2637082848165666,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.3755579774270283,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.3292024626191798,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3528856477204068,"(((0, 5), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
