Opt_Energy,T2
-1.866279902731928,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.831869695842523,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.8031159429176173,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.8233023319914374,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.73824808406766,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.8165868970366534,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8610430408318268,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.8631025709861202,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.7707887930412824,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.782207001290193,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8613041905972407,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.8629855938956141,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.7751604431129744,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.7812617256615355,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8615152849391796,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.824192184521379,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.7930488255652133,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.8165781638303282,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8117223307458068,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8037982801117693,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8038507951344038,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8251057248746885,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
