Opt_Energy,T2
-1.4345968982858448,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.438385321302536,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.4352128807275277,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.4645002022862301,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.3971061658960506,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.4269147100435884,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.3763289062173536,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.409442307593154,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.407767993335895,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.4551516705656575,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.4048620763883384,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.4150321714801724,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.4501509700822504,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.4399307744590653,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.3956290132249807,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.382648642647399,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.3860948760087148,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.4416507122026507,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.441933072460361,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.4343330408390504,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.3685201107663159,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.443885469248976,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.4045447867441592,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.3996452542406201,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4436043010292687,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.3847148907854998,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4315159364240606,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.3943657173721218,"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.426294192439121,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.4267265048960498,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.4116096140130505,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
