Opt_Energy,T2
-1.657213660594071,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.624509975645783,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.6671412337364888,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.6671412300673438,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.6530400799967109,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.657213660594076,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.651121033190424,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.6139146723956004,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.6745492813326543,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.6260908939342533,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.6268346667908857,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.7263426983344816,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6657664938612546,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.6560451836294168,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.6213926622059893,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.640036843137778,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.6400368372799168,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.6805800255354657,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.6745492859800617,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.6248543428841318,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.6150616870337182,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.6350913942435032,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.6814370647223353,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.6268346662871909,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.664378975950159,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.6172586806617746,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.6814370647223327,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.6260908934805847,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.6643789704159655,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.6204070267465567,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.7263426978969356,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.6524866653137287,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.6625503181350032,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6560451836294066,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.6215876244350635,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.6124613616032462,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
