Operator,Noisy_val_approx,Ideal_val,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"((0, 5), (2, 7))",-1.616241458,-1.620246322,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((1, 4), (3, 6))",-1.60843488,-1.620246322,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((0, 4), (2, 6))",-1.60581094,-1.61337318,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((1, 5), (3, 7))",-1.606475845,-1.61210856,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((0, 4), (3, 7))",-1.560807256,-1.606565672,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((1, 4), (2, 7))",-1.567110545,-1.605241357,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((4, 5), (6, 7))",-1.558781967,-1.578558456,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((0, 1), (2, 3))",-1.538077558,-1.578558456,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((1, 5), (2, 6))",-1.642129193,-1.648361081,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"((0, 5), (3, 6))",-1.597096214,-1.605241357,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.1,0.269230769,0.730769231
"(((0, 5), (2, 7)), ((1, 4), (3, 6)))",-1.645576709,-1.665766494,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((0, 4), (2, 6)))",-1.64435594,-1.657213657,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((1, 5), (3, 7)))",-1.646526368,-1.656045184,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((0, 4), (3, 7)))",-1.623754467,-1.674549281,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((1, 4), (2, 7)))",-1.572505435,-1.626834667,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((4, 5), (6, 7)))",-1.585355657,-1.621392662,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.560337809,-1.621587631,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.713834869,-1.726342698,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
"(((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.614257256,-1.626090894,28,20,28,72,16,12,2,48,0.333333333,0.25,0.2,0.28,0.72
