Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 6), (4, 9))",-24.66968888,-24.66968888,-24.66858521,0,1.2181E-06,0.243902439,0.756097561,0.0625,"[(11, 3), (11, 10), (11, 10), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (11, 12), (11, 10), (11, 10), (11, 10), (11, 3)]"
"((0, 5), (2, 7))",-24.62854731,-24.62854731,-24.62744365,0,1.21808E-06,0.243902439,0.756097561,0.0625,"[(11, 10), (11, 3), (11, 3), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 10), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10)]"
"((0, 5), (3, 8))",-24.62854731,-24.62854731,-24.62744365,0,1.21808E-06,0.24691358,0.75308642,0.0625,"[(11, 10), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 3), (2, 3), (2, 3), (2, 3), (11, 10), (12, 2)]"
"((0, 6), (4, 9))",-24.61632422,-24.61632422,-24.61522054,0,1.21811E-06,0.263157895,0.736842105,0.0625,"[(9, 10), (5, 9), (5, 9), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 10), (9, 8), (5, 9), (5, 9), (5, 9), (9, 10)]"
"((0, 6), (2, 7))",-24.61499895,-24.61499895,-24.61389527,0,1.21811E-06,0.285714286,0.714285714,0.0625,"[(7, 8), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (7, 8), (6, 8), (7, 8), (9, 8), (7, 8), (6, 8), (5, 6), (5, 6), (5, 6), (7, 8), (9, 8), (9, 8), (7, 8), (5, 9)]"
"((1, 5), (2, 7))",-24.61499895,-24.61499895,-24.61389527,0,1.21811E-06,0.256410256,0.743589744,0.0625,"[(4, 10), (4, 3), (4, 3), (4, 3), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (11, 12)]"
"((1, 5), (3, 8))",-24.61499895,-24.61499895,-24.61389527,0,1.21811E-06,0.277777778,0.722222222,0.0625,"[(1, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (1, 2), (2, 3), (1, 2), (12, 2), (1, 2), (2, 3), (1, 2), (11, 3), (11, 3), (11, 3), (12, 2), (12, 2), (1, 2), (11, 12)]"
"((1, 6), (2, 7))",-24.61416185,-24.61416185,-24.61305818,0,1.2181E-06,0.25,0.75,0.0625,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4)]"
"((1, 6), (3, 8))",-24.51658185,-24.61416185,-24.61282649,0.009521857,0.009263031,0.285714286,0.714285714,0.0625,"[(4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (11, 10), (9, 10), (9, 10), (9, 10), (4, 10)]"
"((0, 6), (3, 8))",-24.5059918,-24.61499895,-24.61348654,0.011882557,0.011555118,0.281690141,0.718309859,0.0625,"[(9, 10), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (9, 10), (11, 10), (9, 10), (4, 10), (4, 10), (4, 3), (4, 3), (4, 3), (9, 10), (11, 3)]"
