Opt_Energy,T2
-1.4854807677406867,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.416885553519873,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.5516300146507296,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.5516300184171794,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.4299552070526473,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.4854807650952433,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.5309524476755552,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.4482379422594425,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.5545313989571936,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.4210257430888908,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.4217352201060767,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.5733733638409582,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.5422865366911045,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.4864544935448303,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.4572835329200242,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.4797083838843583,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.479708385307603,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.5348841565226194,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.5545313996239332,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.418662578126112,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.4555473885809793,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.520307580343849,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.4953229607004024,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.4217347912025582,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.5524952423065954,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.4631993493181572,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.4953229638096264,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.42102569002011,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.5524952421063556,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.4680895749329699,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.5733733625115554,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.4298002141994373,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.4786313045432566,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.4864544949281437,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.4583818414701726,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.449135342096292,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
