Opt_Energy,T2
-1.555988178789738,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.4075234588017589,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.5529496471794413,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.4248375280496475,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6165721526303212,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.610451451925791,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.513280607042583,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.4033656083539008,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.553243294180228,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.3583702234794146,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.555988173518709,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5342789451746415,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5018523546506548,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.5028204059465213,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.278848716012403,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.4005339580607201,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.5556015141083217,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.3871786726416346,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.392699017277929,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5526573659336325,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.7276499385565358,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5146637217232837,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.3518100902472965,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.3199042001194912,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.202511200752325,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.6104514513670394,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.510334147690535,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5045328212743112,"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.4306757196623294,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
