Operator,Noisy_val_approx,Ideal_val,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr,diff
"((1, 6), (2, 7))",-24.56260944,-24.59097634,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,0.000804681
"((0, 5), (3, 8))",-24.41429674,-24.46620238,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,0.002694196
"((0, 5), (2, 7))",-24.44746198,-24.45172045,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,1.81346E-05
"((1, 6), (4, 9))",-24.44167472,-24.44424631,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,6.61305E-06
"((0, 6), (2, 7))",-24.42289526,-24.44423839,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,0.000455529
"((1, 5), (2, 7))",-24.44214271,-24.44423839,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,4.39189E-06
"((0, 6), (4, 9))",-24.44117883,-24.44412243,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,8.66476E-06
"((1, 5), (3, 8))",-24.40849148,-24.44412243,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,0.001269564
"((1, 6), (3, 8))",-24.43899564,-24.44424631,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,2.75695E-05
"((0, 6), (3, 8))",-24.43876271,-24.44412243,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,2.87266E-05
"((0, 5), (4, 9))",-24.4626123,-24.46620238,14,12,14,38,8,6,1,26,0.307692308,0.230769231,0.090909091,0.269230769,0.730769231,1.28887E-05
"(((1, 6), (2, 7)), ((0, 5), (3, 8)))",-24.53980697,-24.61267724,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.005310077
"(((1, 6), (2, 7)), ((0, 5), (2, 7)))",-24.55931169,-24.59262363,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001109685
"(((1, 6), (2, 7)), ((1, 6), (4, 9)))",-24.55705529,-24.59098533,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001151248
"(((1, 6), (2, 7)), ((0, 6), (2, 7)))",-24.53906132,-24.5909772,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002695259
"(((1, 6), (2, 7)), ((1, 5), (2, 7)))",-24.55782305,-24.5909772,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001099197
"(((1, 6), (2, 7)), ((0, 6), (4, 9)))",-24.5580332,-24.59103429,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001089072
"(((1, 6), (2, 7)), ((1, 5), (3, 8)))",-24.52265694,-24.5910343,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.004675463
"(((1, 6), (2, 7)), ((1, 6), (3, 8)))",-24.5446608,-24.59098533,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002145962
"(((1, 6), (2, 7)), ((0, 6), (3, 8)))",-24.55411732,-24.59103429,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001362863
"(((1, 6), (2, 7)), ((0, 5), (4, 9)))",-24.58643299,-24.61267724,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000688761
"(((0, 5), (3, 8)), ((0, 5), (2, 7)))",-24.4255634,-24.47260391,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.00221281
"(((0, 5), (3, 8)), ((1, 6), (4, 9)))",-24.42427732,-24.46644485,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.0017781
"(((0, 5), (3, 8)), ((0, 6), (2, 7)))",-24.41333958,-24.46641005,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002816475
"(((0, 5), (3, 8)), ((1, 5), (2, 7)))",-24.42410227,-24.46641005,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001789948
"(((0, 5), (3, 8)), ((0, 6), (4, 9)))",-24.41432767,-24.46631079,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002702244
"(((0, 5), (3, 8)), ((1, 5), (3, 8)))",-24.3924555,-24.46642776,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.005471895
"(((0, 5), (3, 8)), ((1, 6), (3, 8)))",-24.41363333,-24.46621219,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002764537
"(((0, 5), (3, 8)), ((0, 6), (3, 8)))",-24.41712536,-24.46642775,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002430726
"(((0, 5), (3, 8)), ((0, 5), (4, 9)))",-24.43352087,-24.48475455,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.00262489
"(((0, 5), (2, 7)), ((1, 6), (4, 9)))",-24.44398593,-24.45196718,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,6.37004E-05
"(((0, 5), (2, 7)), ((0, 6), (2, 7)))",-24.42665425,-24.45224182,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000654724
"(((0, 5), (2, 7)), ((1, 5), (2, 7)))",-24.44591289,-24.45224182,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,4.00553E-05
"(((0, 5), (2, 7)), ((0, 6), (4, 9)))",-24.44513853,-24.45183701,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,4.48696E-05
"(((0, 5), (2, 7)), ((1, 5), (3, 8)))",-24.4200045,-24.45183701,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001013309
"(((0, 5), (2, 7)), ((1, 6), (3, 8)))",-24.44223585,-24.45196718,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,9.46988E-05
"(((0, 5), (2, 7)), ((0, 6), (3, 8)))",-24.44374558,-24.45183701,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,6.54712E-05
"(((0, 5), (2, 7)), ((0, 5), (4, 9)))",-24.46418014,-24.47260391,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,7.09599E-05
"(((1, 6), (4, 9)), ((0, 6), (2, 7)))",-24.42099918,-24.44448272,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000551477
"(((1, 6), (4, 9)), ((1, 5), (2, 7)))",-24.43886813,-24.44448272,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,3.15236E-05
"(((1, 6), (4, 9)), ((0, 6), (4, 9)))",-24.43973978,-24.44442823,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,2.19815E-05
"(((1, 6), (4, 9)), ((1, 5), (3, 8)))",-24.41098129,-24.44436697,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.001114603
"(((1, 6), (4, 9)), ((1, 6), (3, 8)))",-24.43095186,-24.44446181,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000182519
"(((1, 6), (4, 9)), ((0, 6), (3, 8)))",-24.43488613,-24.44436697,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,8.98863E-05
"(((1, 6), (4, 9)), ((0, 5), (4, 9)))",-24.45845549,-24.46621219,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,6.01664E-05
"(((0, 6), (2, 7)), ((1, 5), (2, 7)))",-24.42283093,-24.44440069,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000465254
"(((0, 6), (2, 7)), ((0, 6), (4, 9)))",-24.42251462,-24.44438726,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000478413
"(((0, 6), (2, 7)), ((1, 5), (3, 8)))",-24.39480726,-24.4443583,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.002455306
"(((0, 6), (2, 7)), ((1, 6), (3, 8)))",-24.41748978,-24.44448272,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000728619
"(((0, 6), (2, 7)), ((0, 6), (3, 8)))",-24.41911981,-24.44438726,28,20,28,72,16,12,2,48,0.333333333,0.25,0.181818182,0.28,0.72,0.000638444
