Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.606380958,-1.648888521,-1.637421127,0.001806893,0.000963492,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2)]"
"((0, 5), (2, 7))",-1.575504665,-1.620740519,-1.612769663,0.002046283,0.00138868,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"((1, 4), (3, 6))",-1.573403779,-1.620740519,-1.613315233,0.002240767,0.001592924,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"((0, 4), (2, 6))",-1.567547606,-1.613852812,-1.606970889,0.002144172,0.001554195,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (6, 2), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"((1, 4), (2, 7))",-1.561872571,-1.60571693,-1.600417946,0.001922328,0.001485746,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"((1, 5), (3, 7))",-1.561628457,-1.612576881,-1.606266408,0.002595742,0.001992547,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"((0, 5), (3, 6))",-1.561002853,-1.605716928,-1.6001277,0.001999348,0.001530754,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"((0, 4), (3, 7))",-1.553211472,-1.607026899,-1.601240173,0.0028961,0.002306756,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"((4, 5), (6, 7))",-1.54544113,-1.578986123,-1.577651099,0.001125267,0.001037482,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 4), (7, 6), (7, 5), (6, 7), (4, 7), (6, 7), (5, 7), (6, 7), (4, 7), (6, 7), (5, 7), (7, 5), (5, 4), (7, 6)]"
"((0, 1), (2, 3))",-1.541148766,-1.578986123,-1.577643541,0.001431666,0.001331869,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(1, 0), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
