Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff_rem,,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.614529846,-1.648888521,-1.640139437,0.000655851,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2)]"
"((0, 5), (2, 7))",-1.584200627,-1.620740522,-1.614538236,0.000920371,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"((1, 4), (3, 6))",-1.582115156,-1.620740522,-1.614960575,0.001078822,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"((0, 4), (2, 6))",-1.57499665,-1.613852812,-1.608467869,0.001120323,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (6, 2), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"((1, 5), (3, 7))",-1.571739438,-1.612576881,-1.607609054,0.001286629,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"((0, 5), (3, 6))",-1.570368799,-1.60571693,-1.601291258,0.000956198,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"((1, 4), (2, 7))",-1.568780126,-1.60571693,-1.60152833,0.001072445,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"((0, 4), (3, 7))",-1.563162753,-1.607026899,-1.602440619,0.001542751,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"((0, 1), (2, 3))",-1.554250282,-1.578986123,-1.577770419,0.000553197,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(1, 0), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
"((4, 5), (6, 7))",-1.551527084,-1.578986123,-1.577744833,0.00068737,,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 4), (7, 6), (7, 5), (6, 7), (4, 7), (6, 7), (5, 7), (6, 7), (4, 7), (6, 7), (5, 7), (7, 5), (5, 4), (7, 6)]"
"((0, 0), (2, 0))",-1.573414398,-1.576599288,-1.575616537,4.85E-06,,1,0,0.25,0,0.4,0.6,0.071428571,"[(2, 0), (0, 2), (0, 2), (2, 0)]"
"((1, 0), (3, 0))",-1.573004943,-1.576599288,-1.575616481,6.82E-06,,1,0,0.25,0,0.4,0.6,0.071428571,"[(3, 1), (1, 3), (1, 3), (3, 1)]"
"((4, 0), (6, 0))",-1.571444168,-1.576599288,-1.575616481,1.74E-05,,1,0,0.25,0,0.4,0.6,0.071428571,"[(6, 4), (4, 6), (4, 6), (6, 4)]"
"((5, 0), (7, 0))",-1.571831918,-1.576599288,-1.575616481,1.43E-05,,1,0,0.25,0,0.4,0.6,0.071428571,"[(7, 5), (5, 7), (5, 7), (7, 5)]"
"(((1, 5), (2, 6)), ((0, 5), (2, 7)))",-1.649543922,-1.726945255,-1.703025447,0.002860274,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (5, 0), (6, 2), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"(((1, 5), (2, 6)), ((1, 4), (3, 6)))",-1.647681117,-1.726945254,-1.703277307,0.003090936,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (4, 1), (6, 2), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"(((1, 5), (2, 6)), ((0, 4), (2, 6)))",-1.583242321,-1.653555484,-1.650674519,0.004547101,,0,2,0,0.2,0.5,0.5,0.142857143,"[(4, 0), (5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"(((1, 5), (2, 6)), ((1, 5), (3, 7)))",-1.585762331,-1.653000793,-1.646931618,0.003741682,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (6, 2), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.609840797,-1.682004686,-1.666545425,0.003215415,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (5, 0), (6, 2), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"(((1, 5), (2, 6)), ((1, 4), (2, 7)))",-1.61019615,-1.682004681,-1.66681066,0.003205203,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (4, 1), (6, 2), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"(((1, 5), (2, 6)), ((0, 4), (3, 7)))",-1.60568516,-1.681128456,-1.665843529,0.003619029,,0,2,0,0.2,0.5,0.5,0.142857143,"[(4, 0), (5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"(((1, 5), (2, 6)), ((0, 1), (2, 3)))",-1.598460141,-1.66312036,-1.651501072,0.00281334,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (1, 0), (6, 2), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
"(((1, 5), (2, 6)), ((4, 5), (6, 7)))",-1.598838716,-1.663120361,-1.651443957,0.002767311,,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (5, 4), (6, 2), (7, 6), (7, 5), (6, 7), (4, 7), (6, 7), (5, 7), (6, 7), (4, 7), (6, 7), (5, 7), (7, 5), (5, 4), (7, 6)]"
"(((1, 5), (2, 6)), ((0, 0), (2, 0)))",-1.608269527,-1.652849812,-1.642885508,0.001198266,,1,1,0.25,0.1,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2), (2, 0), (0, 2), (0, 2), (2, 0)]"
"(((1, 5), (2, 6)), ((1, 0), (3, 0)))",-1.609081329,-1.652852415,-1.643048208,0.001153749,,1,1,0.25,0.1,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (3, 1), (1, 3), (1, 3), (3, 1), (6, 2)]"
