Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff_rem,test_model,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"((1, 5), (2, 6))",-1.635515176,-1.648888521,-1.644790966,8.60403E-05,-1.648888521,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2)]"
"((1, 4), (3, 6))",-1.607199003,-1.620740519,-1.617849732,0.000113438,-1.620740519,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"((0, 5), (2, 7))",-1.606276214,-1.620740514,-1.617799381,0.000132783,-1.620740514,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"((0, 4), (2, 6))",-1.600167054,-1.613852812,-1.611246621,0.000122757,-1.613852812,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (6, 2), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"((1, 5), (3, 7))",-1.597129501,-1.612576881,-1.60998447,0.00016525,-1.612576881,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 1), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"((1, 4), (2, 7))",-1.592782794,-1.60571693,-1.603464186,0.000114092,-1.60571693,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 1), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"((0, 5), (3, 6))",-1.591793329,-1.60571693,-1.60342855,0.000135378,-1.60571693,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 0), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"((0, 4), (3, 7))",-1.591291781,-1.607026899,-1.604709117,0.000180025,-1.607026899,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(4, 0), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"((0, 1), (2, 3))",-1.571973622,-1.578986123,-1.577876816,3.48477E-05,-1.578986123,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(1, 0), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
"((4, 5), (6, 7))",-1.568761593,-1.578986123,-1.577893077,8.3384E-05,-1.578986123,0,1,0,0.1,0.466666667,0.533333333,0.071428571,"[(5, 4), (7, 6), (7, 5), (6, 7), (4, 7), (6, 7), (5, 7), (6, 7), (4, 7), (6, 7), (5, 7), (7, 5), (5, 4), (7, 6)]"
"((0, 0), (2, 0))",-1.574820327,-1.576599288,-1.575616476,6.33853E-07,-1.576599288,1,0,0.25,0,0.4,0.6,0.071428571,"[(2, 0), (0, 2), (0, 2), (2, 0)]"
"((1, 0), (3, 0))",-1.574383526,-1.576599288,-1.575616476,1.52017E-06,-1.576599288,1,0,0.25,0,0.4,0.6,0.071428571,"[(3, 1), (1, 3), (1, 3), (3, 1)]"
"((4, 0), (6, 0))",-1.574768601,-1.576599288,-1.575616476,7.18893E-07,-1.576599288,1,0,0.25,0,0.4,0.6,0.071428571,"[(6, 4), (4, 6), (4, 6), (6, 4)]"
"((5, 0), (7, 0))",-1.574504814,-1.576599288,-1.575616476,1.23579E-06,-1.576599288,1,0,0.25,0,0.4,0.6,0.071428571,"[(7, 5), (5, 7), (5, 7), (7, 5)]"
"(((1, 5), (2, 6)), ((1, 4), (3, 6)))",-1.697231396,-1.726945255,-1.716717983,0.000379727,-1.726945255,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (4, 1), (6, 2), (6, 3), (6, 4), (3, 6), (1, 6), (3, 6), (4, 6), (3, 6), (1, 6), (3, 6), (4, 6), (6, 4), (4, 1), (6, 3)]"
"(((1, 5), (2, 6)), ((0, 5), (2, 7)))",-1.698578764,-1.726945255,-1.717350427,0.000352375,-1.726945255,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (5, 0), (6, 2), (7, 2), (7, 5), (2, 7), (0, 7), (2, 7), (5, 7), (2, 7), (0, 7), (2, 7), (5, 7), (7, 5), (5, 0), (7, 2)]"
"(((1, 5), (2, 6)), ((0, 4), (2, 6)))",-1.629063638,-1.653555483,-1.650168404,0.000445411,-1.653555483,0,2,0,0.2,0.5,0.5,0.142857143,"[(4, 0), (5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 4), (2, 6), (0, 6), (2, 6), (4, 6), (2, 6), (0, 6), (2, 6), (4, 6), (6, 4), (4, 0), (6, 2)]"
"(((1, 5), (2, 6)), ((1, 5), (3, 7)))",-1.629143755,-1.653000783,-1.649227619,0.000403362,-1.653000783,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (6, 2), (7, 3), (7, 5), (3, 7), (1, 7), (3, 7), (5, 7), (3, 7), (1, 7), (3, 7), (5, 7), (7, 5), (5, 1), (7, 3)]"
"(((1, 5), (2, 6)), ((1, 4), (2, 7)))",-1.657003058,-1.682004686,-1.675673945,0.000348602,-1.682004686,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (4, 1), (6, 2), (7, 2), (7, 4), (2, 7), (1, 7), (2, 7), (4, 7), (2, 7), (1, 7), (2, 7), (4, 7), (7, 4), (4, 1), (7, 2)]"
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.655370968,-1.682004686,-1.67529928,0.000397138,-1.682004686,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (5, 0), (6, 2), (6, 3), (6, 5), (3, 6), (0, 6), (3, 6), (5, 6), (3, 6), (0, 6), (3, 6), (5, 6), (6, 5), (5, 0), (6, 3)]"
"(((1, 5), (2, 6)), ((0, 4), (3, 7)))",-1.656520283,-1.681128464,-1.674656128,0.000328909,-1.681128464,0,2,0,0.2,0.5,0.5,0.142857143,"[(4, 0), (5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (6, 2), (7, 3), (7, 4), (3, 7), (0, 7), (3, 7), (4, 7), (3, 7), (0, 7), (3, 7), (4, 7), (7, 4), (4, 0), (7, 3)]"
"(((1, 5), (2, 6)), ((0, 1), (2, 3)))",-1.639363666,-1.66312036,-1.657974243,0.000346354,-1.66312036,0,2,0,0.2,0.5,0.5,0.142857143,"[(5, 1), (6, 2), (6, 5), (2, 6), (1, 6), (2, 6), (5, 6), (2, 6), (1, 6), (2, 6), (5, 6), (6, 5), (5, 1), (1, 0), (6, 2), (3, 2), (3, 1), (2, 3), (0, 3), (2, 3), (1, 3), (2, 3), (0, 3), (2, 3), (1, 3), (3, 1), (1, 0), (3, 2)]"
