Opt_Energy,T2
-1.5892124571383834,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.545103485492457,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.613631300955971,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.6136312991741741,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.5722029320818134,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.5892124571383888,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.5884139268600013,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.5373379118678638,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.6221338031428134,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.5486964411776194,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.5496289248053632,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.668566725811289,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6079188731385212,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.5891920560920973,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5495329660310495,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.5743840779109273,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.5743840793353296,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.6166636465630293,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.6221338044845388,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5464652446657174,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5425800156730571,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.574691124361879,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.611831524099999,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.549628926808714,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.6125052410506822,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.5492126263123343,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.6118315228705993,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5486964297253034,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.6125052410506902,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5544509042012273,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.6685667249351597,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5718278333531903,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5906395343330049,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5891920566990687,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5501747511884605,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5368027402914515,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
