Opt_Energy,T2
-1.5892124571383834,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.545103485492457,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.4363492210789142,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.6136312991741741,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.364816775065008,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.5892124571383888,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.5884139268600013,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.4971077395812848,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.6221338031428134,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.3541131682467715,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.5496289248053632,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.4921779874711372,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.6079188731385212,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.5891920560920973,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5141549846483784,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.3739345868403436,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.5743840793353296,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.4163895330314022,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.6221338044845388,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5464652446657174,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5016845033717492,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.3263410698885405,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.2603160096007624,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.313827010371568,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.3765916805288034,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.3083426590302456,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.42245832572618,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5486964297253034,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.6125052410506902,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5150859755295776,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.4359731120347585,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.364895142660611,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.3542422951430861,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5891920566990687,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.509884686479868,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.501200496530405,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
