Opt_Energy,T2
-1.5761838827716583,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.5761838827716583,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.5484846493000788,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.5761838827716592,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.5484846493000788,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.5761838827716583,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.576183882771657,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.5761838827716583,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.5761838827716583,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.5484846493000788,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.5761838827716583,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.5484846493000788,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.5761838827716588,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.5761838827716583,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5761838827716583,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.5484846493000797,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.5761838827716583,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.5484846493000797,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.5761838827716583,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.576183882771657,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5761838827716592,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.5484846493000797,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.5244152815855077,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.5484846493000797,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.5484846493000797,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.5484846493000797,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.5484846493000788,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.576183882771657,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.5761838827716583,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.576183882771657,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.5484846493000797,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5484846493000797,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5484846493000797,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5761838827716583,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5761838827716583,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5761838827716583,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
