Opt_Energy,T2
-1.5725306061753206,"(((0, 4), (2, 6)), ((0, 5), (2, 7)))"
-1.5732058896798562,"(((0, 4), (2, 6)), ((0, 4), (3, 7)))"
-1.503467381922166,"(((0, 4), (2, 6)), ((0, 5), (3, 6)))"
-1.541666815853623,"(((0, 4), (2, 6)), ((1, 4), (2, 7)))"
-1.573221444093376,"(((0, 4), (2, 6)), ((1, 5), (2, 6)))"
-1.5754930781015104,"(((0, 4), (2, 6)), ((1, 4), (3, 6)))"
-1.5743728126393757,"(((0, 4), (2, 6)), ((1, 5), (3, 7)))"
-1.5738967208309789,"(((0, 4), (2, 6)), ((4, 5), (6, 7)))"
-1.5597874828281566,"(((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.5729911621813226,"(((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.573221444093376,"(((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.5002457597729757,"(((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.574587538337474,"(((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.5754215035346806,"(((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5753499287349917,"(((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.5725306061753206,"(((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.5754930781015104,"(((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.5743728126393757,"(((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.5462522251173696,"(((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.573221444093376,"(((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5639172282077483,"(((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.574587538337474,"(((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.5754215035346806,"(((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.573221444093376,"(((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.5269478699377492,"(((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.5490570214891433,"(((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.572315876659859,"(((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5729911616977854,"(((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.5700003806854679,"(((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.561975464757499,"(((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.5594295545525059,"(((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.572776433577591,"(((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5564949743576042,"(((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.572315876659859,"(((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5737535695076135,"(((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.575278354027842,"(((1, 5), (3, 7)), ((4, 5), (6, 7)))"
